,1,2,3,4,5,6,7,8,9,10,11,12
2019,99.664,99.786,99.971,100.123,100.312,100.364,100.301,100.204,100.128,100.074,99.74,99.36
2020,99.639,99.781,99.986,100.103,100.213,100.309,100.268,100.213,100.127,100.053,99.745,99.416
2021,99.643,99.784,99.988,100.113,100.277,100.381,100.371,100.285,100.154,100.056,99.695,99.286
2022,99.56,99.712,99.983,100.119,100.322,100.446,100.44,100.326,100.158,100.05,99.686,99.326
2023,99.605,99.778,100.03,100.109,100.251,100.364,100.349,100.274,100.163,100.046,99.684,99.354
